"","Rank","Titulo","Runtime","Genero","Director","Actor"
"1",1,"What Lies Below",87,"Horror",NA,"Ema Horvath"
"2",2,"The Father",97,"Drama",NA,"Anthony Hopkins"
"3",3,"Concrete Cowboy",111,"Drama",NA,"Idris Elba"
"4",4,"Run",90,"Mystery",NA,"Sarah Paulson"
"5",5,"Promising Young Woman",113,"Crime",NA,"Carey Mulligan"
"6",6,"Wonder Woman 1984",151,"Action",NA,"Gal Gadot"
"7",7,"Nomadland",107,"Drama",NA,"Frances McDormand"
"8",8,"Tenet",150,"Action",NA,"John David Washington"
"9",9,"The Trial of the Chicago 7",129,"Drama",NA,"Eddie Redmayne"
"10",10,"Minari",115,"Drama",NA,"Steven Yeun"
"11",11,"I Care a Lot",118,"Comedy",NA,"Rosamund Pike"
"12",12,"365 dni",114,"Drama",NA,"Anna Maria Sieklucka"
"13",13,"Soul",100,"Animation",NA,"Jamie Foxx"
"14",14,"Hasta el cielo",121,"Action",NA,"Miguel Herrán"
"15",15,"Unhinged",90,"Action",NA,"Russell Crowe"
"16",16,"The Dry",117,"Crime",NA,"Eric Bana"
"17",17,"Druk",117,"Comedy",NA,"Mads Mikkelsen"
"18",18,"News of the World",118,"Action",NA,"Tom Hanks"
"19",19,"Palm Springs",90,"Comedy",NA,"Andy Samberg"
"20",20,"Mank",131,"Biography",NA,"Gary Oldman"
"21",21,"The Courier",112,"Thriller",NA,"Benedict Cumberbatch"
"22",22,"Monster Hunter",103,"Action",NA,"Milla Jovovich"
"23",23,"Shiva Baby",77,"Comedy",NA,"Rachel Sennott"
"24",24,"Antebellum",105,"Drama",NA,"Janelle Monáe"
"25",25,"Pieces of a Woman",126,"Drama",NA,"Vanessa Kirby"
"26",26,"Ma Rainey's Black Bottom",94,"Drama",NA,"Viola Davis"
"27",27,"Aves de presa y la fantabulosa emancipación de una Harley Quinn",109,"Action",NA,"Margot Robbie"
"28",28,"Honest Thief",99,"Action",NA,"Liam Neeson"
"29",29,"The Devil All the Time",138,"Crime",NA,"Tom Holland"
"30",30,"Hillbilly Elegy",116,"Drama",NA,"Amy Adams"
"31",31,"Bill & Ted Face the Music",91,"Adventure",NA,"Keanu Reeves"
"32",32,"Greenland",119,"Action",NA,"Gerard Butler"
"33",33,"El hombre invisible",124,"Drama",NA,"Elisabeth Moss"
"34",34,"One Night in Miami",114,"Drama",NA,"Kingsley Ben-Adir"
"35",35,"Retfærdighedens ryttere",116,"Action",NA,"Mads Mikkelsen"
"36",36,"Enola Holmes",123,"Action",NA,"Millie Bobby Brown"
"37",37,"WolfWalkers",103,"Animation",NA,"Honor Kneafsey"
"38",38,"Mulan",115,"Action",NA,"Yifei Liu"
"39",39,"Hamilton",160,"Biography",NA,"Lin-Manuel Miranda"
"40",40,"The King of Staten Island",136,"Comedy",NA,"Pete Davidson"
"41",41,"Mainstream",94,"Comedy",NA,"Maya Hawke"
"42",42,"After We Collided",105,"Drama",NA,"Josephine Langford"
"43",43,"Kimetsu no Yaiba: Mugen Ressha-Hen",117,"Animation",NA,"Natsuki Hanae"
"44",44,"Love and Monsters",109,"Action",NA,"Dylan O'Brien"
"45",45,"The Empty Man",137,"Crime",NA,"James Badge Dale"
"46",46,"Scoob!",93,"Animation",NA,"Will Forte"
"47",47,"Emma.",124,"Comedy",NA,"Anya Taylor-Joy"
"48",48,"I'm Thinking of Ending Things",134,"Drama",NA,"Jesse Plemons"
"49",49,"Los Croods 2: Una Nueva Era",95,"Animation",NA,"Nicolas Cage"
"50",50,"A Quiet Place Part II",97,"Drama",NA,"Emily Blunt"
"51",51,"The Witches",106,"Adventure",NA,"Anne Hathaway"
"52",52,"Six Minutes to Midnight",99,"Drama",NA,"Nigel Lindsay"
"53",53,"The Night House",108,"Horror",NA,"Rebecca Hall"
"54",54,"Held",94,"Horror",NA,"Jill Awbrey"
"55",55,"The Midnight Sky",118,"Drama",NA,"George Clooney"
"56",56,"Girl",92,"Thriller",NA,"Bella Thorne"
"57",57,"The Hunt",90,"Action",NA,"Betty Gilpin"
"58",58,"Ammonite",120,"Biography",NA,"Kate Winslet"
"59",59,"Eurovision Song Contest: The Story of Fire Saga",123,"Comedy",NA,"Will Ferrell"
"60",60,"The War with Grandpa",94,"Comedy",NA,"Robert De Niro"
"61",61,"The New Mutants",94,"Action",NA,"Maisie Williams"
"62",62,"Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",95,"Comedy",NA,"Sacha Baron Cohen"
"63",63,"Sonic: La película",99,"Action",NA,"Ben Schwartz"
"64",64,"Spenser Confidential",111,"Action",NA,"Mark Wahlberg"
"65",65,"The Old Guard",125,"Action",NA,"Charlize Theron"
"66",66,"Monday",116,"Drama",NA,"Sebastian Stan"
"67",67,"Original Gangster",110,"Crime",NA,"Steve Guttenberg"
"68",68,"Greyhound",91,"Action",NA,"Tom Hanks"
"69",69,"The Oak Room",90,"Horror",NA,"RJ Mitte"
"70",70,"Night in Paradise",131,"Crime",NA,"Tae-goo Eom"
"71",71,"Possessor",103,"Horror",NA,"Andrea Riseborough"
"72",72,"Force of Nature",91,"Action",NA,"Emile Hirsch"
"73",73,"Ava",96,"Action",NA,"Jessica Chastain"
"74",74,"French Exit",113,"Comedy",NA,"Michelle Pfeiffer"
"75",75,"Let Him Go",113,"Crime",NA,"Diane Lane"
"76",76,"Freaky",102,"Comedy",NA,"Vince Vaughn"
"77",77,"Extraction",116,"Action",NA,"Chris Hemsworth"
"78",78,"Amenaza en lo profundo",95,"Action",NA,"Kristen Stewart"
"79",79,"Made in Italy",94,"Comedy",NA,"Yolanda Kettle"
"80",80,"Da 5 Bloods",154,"Adventure",NA,"Delroy Lindo"
"81",81,"Unidos",102,"Animation",NA,"Tom Holland"
"82",82,"Bad Boys Para Siempre",124,"Action",NA,"Will Smith"
"83",83,"Escape from Pretoria",106,"Thriller",NA,"Daniel Radcliffe"
"84",84,"Skylines",113,"Action",NA,"Lindsey Morgan"
"85",85,"The Fisherman's Diary",143,"Drama",NA,"Kang Quintus"
"86",86,"The Craft: Legacy",97,"Drama",NA,"Cailee Spaeny"
"87",87,"Más allá de la Luna",95,"Animation",NA,"Glen Keane"
"88",88,"Rebecca",123,"Drama",NA,"Lily James"
"89",89,"Soorarai Pottru",153,"Drama",NA,"Suriya"
"90",90,"Bloodshot",109,"Action",NA,"Vin Diesel"
"91",91,"The Way Back",108,"Drama",NA,"Ben Affleck"
